"year","code","product","country","Exported","Imported"
2001,"02","Meat and edible meat offal","Росія",159172,NA
2001,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",158637,NA
2001,"10","Cereals","all",483727,NA
2001,"10","Cereals","ЄС",118278,NA
2001,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",94707,NA
2001,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",225475,NA
2001,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",31499,NA
2001,"26","Ores, slag and ash","all",427353,NA
2001,"26","Ores, slag and ash","ЄС",77747,NA
2001,"26","Ores, slag and ash","Росія",NA,117047
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",1186400,6253474
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",348262,160231
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",34228,3399490
2001,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",549635,NA
2001,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",213346,NA
2001,"29","Organic chemicals","Росія",NA,44164
2001,"30","Pharmaceutical products","all",NA,341816
2001,"30","Pharmaceutical products","ЄС",NA,253251
2001,"31","Fertilisers","Росія",NA,18070
2001,"39","Plastics and articles thereof","all",NA,463442
2001,"39","Plastics and articles thereof","ЄС",NA,294463
2001,"39","Plastics and articles thereof","Росія",NA,67488
2001,"40","Rubber and articles thereof","Росія",NA,134430
2001,"44","Wood and articles of wood; wood charcoal","ЄС",88107,NA
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,448268
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,262700
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",171700,153447
2001,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",321187,NA
2001,"72","Iron and steel","all",4976844,NA
2001,"72","Iron and steel","ЄС",469814,NA
2001,"72","Iron and steel","Росія",496890,136697
2001,"73","Articles of iron or steel","all",648767,NA
2001,"73","Articles of iron or steel","Росія",364199,NA
2001,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",380683,NA
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1248584,1660064
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",225217,788299
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",555141,601151
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",465658,716980
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",88239,434008
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",190304,98076
2001,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",150077,NA
2001,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",78916,NA
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,637049
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,295755
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",123591,208426
2001,"TOTAL","All products","all",16264734,15775093
2001,"TOTAL","All products","ЄС",2909602,4673497
2001,"TOTAL","All products","Росія",3640826,5778991
2002,"02","Meat and edible meat offal","Росія",209178,NA
2002,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",82507,NA
2002,"10","Cereals","all",997706,NA
2002,"10","Cereals","ЄС",384036,NA
2002,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",15711,NA
2002,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",342195,NA
2002,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",92010,NA
2002,"26","Ores, slag and ash","all",440495,NA
2002,"26","Ores, slag and ash","ЄС",91539,NA
2002,"26","Ores, slag and ash","Росія",NA,82191
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",1645680,6653035
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",652614,135347
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",24158,4057887
2002,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",444946,NA
2002,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",166277,NA
2002,"29","Organic chemicals","Росія",NA,43238
2002,"30","Pharmaceutical products","all",NA,427603
2002,"30","Pharmaceutical products","ЄС",NA,321694
2002,"31","Fertilisers","Росія",NA,39117
2002,"39","Plastics and articles thereof","all",NA,552595
2002,"39","Plastics and articles thereof","ЄС",NA,348925
2002,"39","Plastics and articles thereof","Росія",NA,66080
2002,"40","Rubber and articles thereof","Росія",NA,104080
2002,"44","Wood and articles of wood; wood charcoal","ЄС",112845,NA
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,590393
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,398278
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",177653,137030
2002,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",336149,NA
2002,"72","Iron and steel","all",5338261,NA
2002,"72","Iron and steel","ЄС",532509,NA
2002,"72","Iron and steel","Росія",307497,178326
2002,"73","Articles of iron or steel","all",560106,NA
2002,"73","Articles of iron or steel","Росія",214707,NA
2002,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",601232,NA
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1281610,1816269
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",195304,1035472
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",585192,458019
2002,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",476999,684509
2002,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",51162,427778
2002,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",170772,91883
2002,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",298631,NA
2002,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",186719,NA
2002,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,926587
2002,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,456391
2002,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",85794,252674
2002,"TOTAL","All products","all",17927432,16975884
2002,"TOTAL","All products","ЄС",3486282,5436780
2002,"TOTAL","All products","Росія",3148747,6299107
2003,"02","Meat and edible meat offal","Росія",241433,NA
2003,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",166454,NA
2003,"10","Cereals","all",402300,NA
2003,"10","Cereals","ЄС",38601,NA
2003,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",114253,NA
2003,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",558800,NA
2003,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",129197,NA
2003,"26","Ores, slag and ash","all",539705,NA
2003,"26","Ores, slag and ash","ЄС",95790,NA
2003,"26","Ores, slag and ash","Росія",NA,193389
2003,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",2752977,7856923
2003,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1011981,302058
2003,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",32285,5404859
2003,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",607175,NA
2003,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",179742,NA
2003,"29","Organic chemicals","Росія",NA,76928
2003,"30","Pharmaceutical products","all",NA,596550
2003,"30","Pharmaceutical products","ЄС",NA,438150
2003,"31","Fertilisers","Росія",NA,44300
2003,"39","Plastics and articles thereof","all",NA,791642
2003,"39","Plastics and articles thereof","ЄС",NA,483727
2003,"39","Plastics and articles thereof","Росія",NA,98152
2003,"40","Rubber and articles thereof","Росія",NA,134206
2003,"44","Wood and articles of wood; wood charcoal","ЄС",155069,NA
2003,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,709050
2003,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,529890
2003,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",222603,108666
2003,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",385931,NA
2003,"72","Iron and steel","all",6728129,NA
2003,"72","Iron and steel","ЄС",691790,NA
2003,"72","Iron and steel","Росія",575381,318577
2003,"73","Articles of iron or steel","all",1070682,NA
2003,"73","Articles of iron or steel","Росія",398824,NA
2003,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",35042,NA
2003,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1426137,2468391
2003,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",195618,1432027
2003,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",677294,575732
2003,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",895659,1009893
2003,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",196732,609213
2003,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",201747,132134
2003,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",549793,NA
2003,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",233592,NA
2003,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,1698078
2003,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,813439
2003,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",85836,342510
2003,"TOTAL","All products","all",23066846,23020438
2003,"TOTAL","All products","ЄС",4576135,7884076
2003,"TOTAL","All products","Росія",4311376,8645594
2004,"02","Meat and edible meat offal","Росія",177228,NA
2004,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",304021,NA
2004,"10","Cereals","all",842838,NA
2004,"10","Cereals","ЄС",160406,NA
2004,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",89950,NA
2004,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",545812,NA
2004,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",207703,NA
2004,"26","Ores, slag and ash","all",679380,NA
2004,"26","Ores, slag and ash","ЄС",522510,NA
2004,"26","Ores, slag and ash","Росія",NA,132174
2004,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",3403906,9755086
2004,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1618268,142245
2004,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",87490,7311406
2004,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",785599,NA
2004,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",238572,NA
2004,"29","Organic chemicals","Росія",NA,137590
2004,"30","Pharmaceutical products","all",NA,745495
2004,"30","Pharmaceutical products","ЄС",NA,530965
2004,"31","Fertilisers","Росія",NA,48360
2004,"39","Plastics and articles thereof","all",NA,1070933
2004,"39","Plastics and articles thereof","ЄС",NA,660965
2004,"39","Plastics and articles thereof","Росія",NA,127444
2004,"40","Rubber and articles thereof","Росія",NA,190876
2004,"44","Wood and articles of wood; wood charcoal","ЄС",365836,NA
2004,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,664836
2004,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,441072
2004,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",241124,158233
2004,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",495581,NA
2004,"72","Iron and steel","all",10765600,NA
2004,"72","Iron and steel","ЄС",1901398,NA
2004,"72","Iron and steel","Росія",998216,526311
2004,"73","Articles of iron or steel","all",1447721,NA
2004,"73","Articles of iron or steel","Росія",481887,NA
2004,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",29184,NA
2004,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1802590,3214237
2004,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",436885,1814958
2004,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",826632,885508
2004,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",1229025,1526422
2004,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",513530,949334
2004,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",280090,169831
2004,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",1490441,NA
2004,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",564754,NA
2004,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,2246839
2004,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,1080840
2004,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",118494,496885
2004,"TOTAL","All products","all",32666132,28996784
2004,"TOTAL","All products","ЄС",9715303,9374755
2004,"TOTAL","All products","Росія",5824831,11653098
2005,"02","Meat and edible meat offal","Росія",154379,NA
2005,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",414891,NA
2005,"10","Cereals","all",1383083,NA
2005,"10","Cereals","ЄС",311810,NA
2005,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",84839,NA
2005,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",587250,NA
2005,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",227064,NA
2005,"26","Ores, slag and ash","all",1045202,NA
2005,"26","Ores, slag and ash","ЄС",639160,NA
2005,"26","Ores, slag and ash","Росія",NA,139752
2005,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",3342973,10661441
2005,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1778489,256882
2005,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",150295,7298078
2005,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",931571,NA
2005,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",321379,NA
2005,"29","Organic chemicals","Росія",NA,170226
2005,"30","Pharmaceutical products","all",NA,1043450
2005,"30","Pharmaceutical products","ЄС",NA,742773
2005,"31","Fertilisers","Росія",NA,78619
2005,"39","Plastics and articles thereof","all",NA,1497339
2005,"39","Plastics and articles thereof","ЄС",NA,863947
2005,"39","Plastics and articles thereof","Росія",NA,175825
2005,"40","Rubber and articles thereof","Росія",NA,248014
2005,"44","Wood and articles of wood; wood charcoal","ЄС",366608,NA
2005,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,866513
2005,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,578845
2005,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",282063,202161
2005,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",527088,NA
2005,"72","Iron and steel","all",11451281,NA
2005,"72","Iron and steel","ЄС",1953965,NA
2005,"72","Iron and steel","Росія",1307267,690443
2005,"73","Articles of iron or steel","all",1848336,NA
2005,"73","Articles of iron or steel","Росія",687822,NA
2005,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",45020,NA
2005,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1921988,4050152
2005,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",251738,2222972
2005,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",991017,926521
2005,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",916663,2289855
2005,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",299268,1406216
2005,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",351570,224329
2005,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",964244,NA
2005,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",615201,NA
2005,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,3022933
2005,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,1272961
2005,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",180233,676707
2005,"TOTAL","All products","all",34227974,36121997
2005,"TOTAL","All products","ЄС",9206314,12209987
2005,"TOTAL","All products","Росія",7489792,12842463
2006,"02","Meat and edible meat offal","Росія",6142,NA
2006,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",139874,NA
2006,"10","Cereals","all",1354247,NA
2006,"10","Cereals","ЄС",203179,NA
2006,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",210190,NA
2006,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",971401,NA
2006,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",467579,NA
2006,"26","Ores, slag and ash","all",912326,NA
2006,"26","Ores, slag and ash","ЄС",586990,NA
2006,"26","Ores, slag and ash","Росія",NA,91190
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",2553533,12711627
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1451978,629537
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",97079,6939822
2006,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",1086643,NA
2006,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",394745,NA
2006,"29","Organic chemicals","Росія",NA,160140
2006,"30","Pharmaceutical products","all",NA,1384877
2006,"30","Pharmaceutical products","ЄС",NA,996043
2006,"31","Fertilisers","Росія",NA,152893
2006,"39","Plastics and articles thereof","all",NA,1988858
2006,"39","Plastics and articles thereof","ЄС",NA,1153697
2006,"39","Plastics and articles thereof","Росія",NA,205792
2006,"40","Rubber and articles thereof","Росія",NA,281527
2006,"44","Wood and articles of wood; wood charcoal","ЄС",385979,NA
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,1014210
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,694645
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",368507,227904
2006,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",524842,NA
2006,"72","Iron and steel","all",13051226,NA
2006,"72","Iron and steel","ЄС",2653053,NA
2006,"72","Iron and steel","Росія",1479785,877758
2006,"73","Articles of iron or steel","all",2361608,NA
2006,"73","Articles of iron or steel","Росія",1105559,NA
2006,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",45289,NA
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",2051504,5191399
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",263743,2946088
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",1136783,1122767
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",1278980,2682029
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",475618,1645048
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",457204,287031
2006,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",1066959,NA
2006,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",744472,NA
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,4898344
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,2178676
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",448784,962878
2006,"TOTAL","All products","all",38367609,45021621
2006,"TOTAL","All products","ЄС",10871448,16225966
2006,"TOTAL","All products","Росія",8650700,13787221
